cluster_id,size,unique_movie_count,movie_count_list,transitivity,avg_polarization,avg_leadership_insularity
295,1,1,1.0,0.0,,0.9603621506992222
296,1,1,1.0,0.0,,0.9596538072320817
297,1,2,2.0,0.0,,0.9584084643733236
298,1,1,1.0,0.0,,0.9585094992946195
299,1,1,1.0,0.0,,0.9585027157200062
300,1,1,1.0,0.0,,0.958747784567071
301,2,2,2.0,0.0,,0.0
302,1,1,1.0,0.0,,0.9594203196376001
303,1,1,1.0,0.0,,0.9592940977541867
304,1,2,2.0,0.0,,0.9589857255897946
305,2,2,2.0,0.0,,0.960072036321121
306,1,1,1.0,0.0,,0.957850888650876
307,1,1,1.0,0.0,,0.9599393006777994
308,1,1,1.0,0.0,,0.9602105233739797
309,1,1,1.0,0.0,,0.9575968526192611
310,1,1,1.0,0.0,,0.9583387888197984
311,1,1,1.0,0.0,,0.9596002526958753
312,1,1,1.0,0.0,,0.9587129180915271
313,1,1,1.0,0.0,,0.9602835855258597
314,1,1,1.0,0.0,,0.9600531871855777
315,1,2,2.0,0.0,,0.957703976497202
316,1,1,1.0,0.0,,0.9592455165410564
317,1,2,2.0,0.0,,0.9586544128134629
318,1,1,1.0,0.0,,0.9579367753102477
319,2,2,2.0,0.0,,0.9593123939037768
320,1,1,1.0,0.0,,0.9593820774686661
321,1,1,1.0,0.0,,0.9586484493238291
322,1,1,1.0,0.0,,0.9592337176728246
323,1,1,1.0,0.0,,0.9597298508616431
324,1,1,1.0,0.0,,0.9603394064036794
325,2,2,2.0,0.0,,0.95983288107718
326,1,1,1.0,0.0,,0.9579503953435952
327,1,1,1.0,0.0,,0.9594988703284907
328,1,1,1.0,0.0,,0.9577988734491276
329,1,1,1.0,0.0,,0.9603170184653407
330,1,1,1.0,0.0,,0.9605218961093377
331,1,1,1.0,0.0,,0.9598523559951849
332,1,1,1.0,0.0,,0.960122721786888
333,1,1,1.0,0.0,,0.95955600312567
334,1,1,1.0,0.0,,0.9575452397840761
335,1,1,1.0,0.0,,0.959466871573409
336,2,2,2.0,0.0,,0.0
337,1,1,1.0,0.0,,0.9583841902425186
338,1,1,1.0,0.0,,0.959881538000377
339,1,1,1.0,0.0,,0.9598365416338444
340,1,1,1.0,0.0,,0.9591370350600567
341,1,1,1.0,0.0,,0.9593271944563838
342,1,1,1.0,0.0,,0.9594459216725921
343,1,1,1.0,0.0,,0.9597811272141193
