Unnamed: 0,vertex_id,vertex_name,type,movie_str_url
387,387,The Matrix,movie,The+Matrix
388,388,We Need to Talk About Kevin,movie,We+Need+to+Talk+About+Kevin
389,389,Ma Raineys Black Bottom,movie,Ma+Raineys+Black+Bottom
390,390,Ambulance,movie,Ambulance
391,391,Dog Day Afternoon,movie,Dog+Day+Afternoon
392,392,Isle of Dogs,movie,Isle+of+Dogs
393,393,Edge of Tomorrow,movie,Edge+of+Tomorrow
394,394,13 Going on 30,movie,13+Going+on+30
395,395,Submarine,movie,Submarine
396,396,Okja,movie,Okja
397,397,Euphoria: F*ck Anyone Whos Not a Sea Blob,movie,Euphoria+F*ck+Anyone+Whos+Not+a+Sea+Blob
398,398,The Empire Strikes Back,movie,The+Empire+Strikes+Back
399,399,The Twilight Saga: Eclipse,movie,The+Twilight+Saga+Eclipse
400,400,Swiss Army Man,movie,Swiss+Army+Man
401,401,A Serbian Film,movie,A+Serbian+Film
402,402,Jaws,movie,Jaws
403,403,Star Wars: Episode III Â Revenge of the Sith,movie,Star+Wars+Episode+III+Revenge+of+the+Sith
404,404,The Half of It,movie,The+Half+of+It
405,405,Back to the Future,movie,Back+to+the+Future
406,406,"SalÃÂ², or the 120 Days of Sodom",movie,Sal+or+the+120+Days+of+Sodom
407,407,Spider-Man 2,movie,Spider-Man+2
408,408,Catch Me If You Can,movie,Catch+Me+If+You+Can
409,409,Army of the Dead,movie,Army+of+the+Dead
410,410,Corpse Bride,movie,Corpse+Bride
411,411,Scooby-Doo,movie,Scooby-Doo
412,412,Persona,movie,Persona
413,413,Ghost World,movie,Ghost+World
414,414,The Prom,movie,The+Prom
415,415,Creed III,movie,Creed+III
416,416,Aliens,movie,Aliens
417,417,Casablanca,movie,Casablanca
418,418,Star Wars: Episode II Â Attack of the Clones,movie,Star+Wars+Episode+II+Attack+of+the+Clones
419,419,The Last Duel,movie,The+Last+Duel
420,420,Jackass Forever,movie,Jackass+Forever
421,421,Ratatouille,movie,Ratatouille
422,422,The Lion King,movie,The+Lion+King
423,423,High Life,movie,High+Life
424,424,Climax,movie,Climax
425,425,Thor: Ragnarok,movie,Thor+Ragnarok
426,426,There Will Be Blood,movie,There+Will+Be+Blood
427,427,Edward Scissorhands,movie,Edward+Scissorhands
428,428,Interview with the Vampire,movie,Interview+with+the+Vampire
429,429,Hustlers,movie,Hustlers
430,430,Being John Malkovich,movie,Being+John+Malkovich
431,431,The Danish Girl,movie,The+Danish+Girl
432,432,The Guilty,movie,The+Guilty
433,433,Birds of Prey,movie,Birds+of+Prey
434,434,Coraline,movie,Coraline
435,435,Evil Dead II,movie,Evil+Dead+II
436,436,Mulan,movie,Mulan
437,437,The Departed,movie,The+Departed
438,438,Obi-Wan Kenobi,movie,Obi-Wan+Kenobi
439,439,Fargo,movie,Fargo
440,440,Trainspotting,movie,Trainspotting
441,441,The Falcon and the Winter Soldier,movie,The+Falcon+and+the+Winter+Soldier
442,442,Neon Genesis Evangelion,movie,Neon+Genesis+Evangelion
443,443,Home Alone,movie,Home+Alone
444,444,The Gray Man,movie,The+Gray+Man
445,445,Mad Max: Fury Road,movie,Mad+Max+Fury+Road
446,446,The SpongeBob SquarePants Movie,movie,The+SpongeBob+SquarePants+Movie
447,447,The Wonder,movie,The+Wonder
448,448,Paddington 2,movie,Paddington+2
449,449,The Lord of the Rings: The Two Towers,movie,The+Lord+of+the+Rings+The+Two+Towers
450,450,Superbad,movie,Superbad
451,451,Harry Potter and the Chamber of Secrets,movie,Harry+Potter+and+the+Chamber+of+Secrets
452,452,But Im a Cheerleader,movie,But+Im+a+Cheerleader
453,453,The Hunger Games: Catching Fire,movie,The+Hunger+Games+Catching+Fire
454,454,Midnight in Paris,movie,Midnight+in+Paris
455,455,Hustle,movie,Hustle
456,456,Frozen,movie,Frozen
457,457,The 355,movie,The+355
458,458,The Amazing Spider-Man,movie,The+Amazing+Spider-Man
459,459,Cmon Cmon,movie,Cmon+Cmon
460,460,Bee Movie,movie,Bee+Movie
461,461,Django Unchained,movie,Django+Unchained
462,462,Manchester by the Sea,movie,Manchester+by+the+Sea
463,463,Dahmer  Monster: The Jeffrey Dahmer Story,movie,Dahmer+Monster+The+Jeffrey+Dahmer+Story
464,464,Happy Together,movie,Happy+Together
465,465,It Follows,movie,It+Follows
466,466,The Lego Batman Movie,movie,The+Lego+Batman+Movie
467,467,Die Hard,movie,Die+Hard
468,468,Buffalo 66,movie,Buffalo+66
469,469,Ghostbusters: Afterlife,movie,Ghostbusters+Afterlife
470,470,Nosferatu,movie,Nosferatu
471,471,Midnight Mass,movie,Midnight+Mass
472,472,"Love, Simon",movie,Love+Simon
473,473,Orphan: First Kill,movie,Orphan+First+Kill
474,474,Groundhog Day,movie,Groundhog+Day
475,475,Moulin Rouge!,movie,Moulin+Rouge!
476,476,My Own Private Idaho,movie,My+Own+Private+Idaho
477,477,Heat,movie,Heat
478,478,How to Lose a Guy in 10 Days,movie,How+to+Lose+a+Guy+in+10+Days
479,479,The King,movie,The+King
480,480,28 Days Later,movie,28+Days+Later
481,481,The Beatles: Get Back,movie,The+Beatles+Get+Back
482,482,Train to Busan,movie,Train+to+Busan
483,483,Shrek,movie,Shrek
484,484,Zola,movie,Zola
485,485,One Night in Miami? ,movie,One+Night+in+Miami?+
486,486,The Hunt,movie,The+Hunt
487,487,The New Mutants,movie,The+New+Mutants
488,488,Oldboy,movie,Oldboy
489,489,Y Tu MamÃÂ¡ TambiÃÂ©n,movie,Y+Tu+Mam+Tambin
490,490,The Big Short,movie,The+Big+Short
491,491,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,Dr.+Strangelove+or+How+I+Learned+to+Stop+Worrying+and+Love+the+Bomb
492,492,Columbus,movie,Columbus
493,493,Raya and the Last Dragon,movie,Raya+and+the+Last+Dragon
494,494,Crush,movie,Crush
495,495,Kimi,movie,Kimi
496,496,Closer,movie,Closer
497,497,John Wick,movie,John+Wick
498,498,Breakfast at Tiffanys,movie,Breakfast+at+Tiffanys
499,499,Twin Peaks,movie,Twin+Peaks
500,500,Moonrise Kingdom,movie,Moonrise+Kingdom
501,501,Jujutsu Kaisen 0,movie,Jujutsu+Kaisen+0
502,502,The Big Lebowski,movie,The+Big+Lebowski
503,503,"Tiger King: Murder, Mayhem and Madness",movie,Tiger+King+Murder+Mayhem+and+Madness
504,504,The Lost City,movie,The+Lost+City
505,505,Fear Street: 19 6  8,movie,Fear+Street+19+6+8
506,506,Bohemian Rhapsody,movie,Bohemian+Rhapsody
507,507,The Master,movie,The+Master
508,508,Battle Royale,movie,Battle+Royale
509,509,Blade Runner 2049,movie,Blade+Runner+2049
510,510,Rosemarys Baby,movie,Rosemarys+Baby
511,511,Entergalactic,movie,Entergalactic
512,512,Green Book,movie,Green+Book
513,513,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,movie,Borat+Cultural+Learnings+of+America+for+Make+Benefit+Glorious+Nation+of+Kazakhstan
514,514,Hamilton,movie,Hamilton
515,515,The Pianist,movie,The+Pianist
516,516,Euphoria: Trouble Dont Last Always,movie,Euphoria+Trouble+Dont+Last+Always
517,517,The Graduate,movie,The+Graduate
518,518,Chicken Little,movie,Chicken+Little
519,519,Decision to Leave,movie,Decision+to+Leave
520,520,Big Little Lies,movie,Big+Little+Lies
521,521,Yesterday,movie,Yesterday
522,522,Inside Llewyn Davis,movie,Inside+Llewyn+Davis
523,523,Avengers: Endgame,movie,Avengers+Endgame
524,524,"Monsters, Inc.",movie,Monsters+Inc.
525,525,Star Wars: The Last Jedi,movie,Star+Wars+The+Last+Jedi
526,526,Passengers,movie,Passengers
527,527,Its a Wonderful Life,movie,Its+a+Wonderful+Life
528,528,Beetlejuice,movie,Beetlejuice
529,529,Almost Famous,movie,Almost+Famous
530,530,Kong: Skull Island,movie,Kong+Skull+Island
531,531,Easy A,movie,Easy+A
532,532,Three Thousand Years of Longing,movie,Three+Thousand+Years+of+Longing
533,533,Birdman or,movie,Birdman+or
534,534,Princess Mononoke,movie,Princess+Mononoke
535,535,The Princess Bride,movie,The+Princess+Bride
536,536,Sing 2,movie,Sing+2
537,537,Are you lost in the world like me?,movie,Are+you+lost+in+the+world+like+me?
538,538,Belfast,movie,Belfast
539,539,Weird: The Al Yankovic Story,movie,Weird+The+Al+Yankovic+Story
540,540,Singin in the Rain,movie,Singin+in+the+Rain
541,541,Porco Rosso,movie,Porco+Rosso
542,542,Venom,movie,Venom
543,543,Chip n Dale: Rescue Rangers,movie,Chip+n+Dale+Rescue+Rangers
544,544,Hocus Pocus,movie,Hocus+Pocus
545,545,First Reformed,movie,First+Reformed
546,546,Funny Games,movie,Funny+Games
547,547,Magnolia,movie,Magnolia
548,548,Mortal Kombat,movie,Mortal+Kombat
549,549,Happiest Season,movie,Happiest+Season
550,550,Ponyo,movie,Ponyo
551,551,The Kissing Booth 2,movie,The+Kissing+Booth+2
552,552,Snow White and the Seven Dwarfs,movie,Snow+White+and+the+Seven+Dwarfs
553,553,Split,movie,Split
554,554,Thoroughbreds,movie,Thoroughbreds
555,555,Moxie,movie,Moxie
556,556,Saw II,movie,Saw+II
557,557,Suicide Squad,movie,Suicide+Squad
558,558,School of Rock,movie,School+of+Rock
559,559,It Chapter Two,movie,It+Chapter+Two
560,560,Ghostbusters,movie,Ghostbusters
561,561,From Up on Poppy Hill,movie,From+Up+on+Poppy+Hill
562,562,All Quiet on the Western Front,movie,All+Quiet+on+the+Western+Front
563,563,8ÃÂ½,movie,8ÃÂ½
564,564,Paterson,movie,Paterson
565,565,The Talented Mr. Ripley,movie,The+Talented+Mr.+Ripley
566,566,Vertigo,movie,Vertigo
567,567,Cha Cha Real Smooth,movie,Cha+Cha+Real+Smooth
568,568,"Three Billboards Outside Ebbing, Missouri",movie,Three+Billboards+Outside+Ebbing+Missouri
569,569,Fear and Loathing in Las Vegas,movie,Fear+and+Loathing+in+Las+Vegas
570,570,Possessor,movie,Possessor
571,571,In Bruges,movie,In+Bruges
572,572,The Muppet Christmas Carol,movie,The+Muppet+Christmas+Carol
573,573,Jungle Cruise,movie,Jungle+Cruise
574,574,Bird Box,movie,Bird+Box
575,575,She-Hulk: Attorney at Law,movie,She-Hulk+Attorney+at+Law
576,576,Batman: Mask of the Phantasm,movie,Batman+Mask+of+the+Phantasm
577,577,LÃÂ©on: The Professional,movie,LÃÂ©on+The+Professional
578,578,Forrest Gump,movie,Forrest+Gump
579,579,Blue Velvet,movie,Blue+Velvet
580,580,A Goofy Movie,movie,A+Goofy+Movie
581,581,House,movie,House
582,582,Rope,movie,Rope
583,583,Gods Own Country,movie,Gods+Own+Country
584,584,Avengers: Infinity War,movie,Avengers+Infinity+War
585,585,Mission: Impossible - Fallout,movie,Mission+Impossible+-+Fallout
586,586,El Camino: A Breaking Bad Movie,movie,El+Camino+A+Breaking+Bad+Movie
587,587,Freaky,movie,Freaky
588,588,The Trial of the Chicago  6,movie,The+Trial+of+the+Chicago+6
589,589,Ruby Sparks,movie,Ruby+Sparks
590,590,The Woman in the Window,movie,The+Woman+in+the+Window
591,591,The Bobs Burgers Movie,movie,The+Bobs+Burgers+Movie
592,592,Crimes of the Future,movie,Crimes+of+the+Future
593,593,Scream 4,movie,Scream+4
594,594,Freaky Friday,movie,Freaky+Friday
595,595,Creed,movie,Creed
